                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6399,                 3.0749,                 4.7667,                 1.5724,                 0.2622,                0.11435,                0.03551,                0.03258,                0.26175,                0.10565,                0.03482,                0.03085,                 1.1977,                 2.7917,                 8.3666,                 1.2117,                  1e-05,                  1e-05,                  1e-05
                      1,                 1.4689,                  3.024,                 4.4772,                 1.5238,                0.26162,                0.10565,                0.03548,                0.03268,                 0.2612,                0.09696,                0.03476,                0.03084,                 1.2011,                 2.7876,                 8.2562,                 1.2125,             2.9851e-05,             2.9851e-05,             2.9851e-05
                      2,                 1.6415,                 2.9483,                 4.3645,                 1.6095,                0.06237,                0.12304,                0.03601,                0.03254,                0.06152,                0.10565,                0.03489,                0.03069,                 1.2011,                 2.7947,                 8.1318,                 1.2118,             4.9505e-05,             4.9505e-05,             4.9505e-05
                      3,                 1.5128,                 2.9132,                 4.4899,                  1.543,                0.06227,                0.12304,                0.03588,                0.03243,                0.06147,                0.10565,                0.03477,                0.03062,                 1.2055,                 2.7957,                 8.0596,                 1.2168,              6.896e-05,              6.896e-05,              6.896e-05
                      4,                 1.3546,                 2.5944,                 3.6415,                 1.4026,                0.07985,                0.14196,                0.06978,                0.05504,                0.07905,                0.12457,                0.06837,                0.04824,                 1.1407,                 2.6227,                 4.1072,                 1.1823,             8.8218e-05,             8.8218e-05,             8.8218e-05
                      5,                 1.1413,                 2.2581,                 2.2493,                 1.2946,                0.34207,                0.14739,                  0.135,                 0.1051,                0.35461,                0.14291,                0.13493,                0.09293,                 1.1243,                 2.5964,                 3.6114,                 1.1456,             0.00010728,             0.00010728,             0.00010728
                      6,                0.92865,                 1.7804,                 1.5895,                 1.1302,                 0.2543,                0.33954,                0.29323,                0.20154,                0.26021,                 0.2878,                0.27631,                0.16736,                 1.1292,                 2.5928,                 2.3765,                 1.1502,             0.00012614,             0.00012614,             0.00012614
                      7,                0.92643,                 1.7681,                 1.2847,                 1.1141,                0.56353,                0.34437,                 0.2982,                0.18304,                0.52659,                0.30746,                0.26478,                0.16097,                 1.1994,                 2.6829,                 2.2554,                 1.1951,              0.0001448,              0.0001448,              0.0001448
                      8,                0.85565,                 1.4643,                 1.1919,                 1.0633,                0.47737,                0.41957,                0.28501,                0.18919,                0.48951,                 0.3384,                0.26912,                0.17162,                 1.2278,                 2.7934,                 2.2209,                 1.2167,             0.00016327,             0.00016327,             0.00016327
                      9,                0.86741,                 1.6385,                 1.1093,                 1.0564,                0.51481,                0.37142,                0.29965,                0.19931,                0.49449,                0.30097,                0.26764,                0.16715,                 1.2112,                  3.019,                 2.1128,                  1.209,             0.00018154,             0.00018154,             0.00018154
                     10,                0.75722,                 1.4531,                 1.0411,                 1.0152,                0.49289,                0.43571,                0.32314,                0.22319,                0.58721,                0.28687,                0.27766,                 0.1688,                 1.1815,                 3.0902,                 1.9924,                 1.1896,             0.00019961,             0.00019961,             0.00019961
                     11,                0.81503,                 1.5705,                 1.1552,                 1.0436,                0.53839,                0.37883,                0.33878,                0.23946,                0.51772,                0.35275,                0.29862,                0.18885,                 1.1687,                 3.1032,                 1.9899,                 1.1748,             0.00021748,             0.00021748,             0.00021748
